i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,9.25,,,,,,,,,,,,,,,,,,,
2,8.75,9.43,,,,,,,,,,,,,,,,,,
3,8.25,8.94,9.53,,,,,,,,,,,,,,,,,
4,7.76,8.44,9.04,9.60,,,,,,,,,,,,,,,,
5,7.26,7.94,8.54,9.10,9.64,,,,,,,,,,,,,,,
6,6.76,7.45,8.04,8.60,9.15,9.68,,,,,,,,,,,,,,
7,6.27,6.95,7.55,8.11,8.65,9.18,9.70,,,,,,,,,,,,,
8,5.77,6.45,7.05,7.61,8.15,8.68,9.20,9.71,,,,,,,,,,,,
9,5.27,5.96,6.55,7.11,7.66,8.19,8.70,9.21,9.72,,,,,,,,,,,
10,4.78,5.46,6.06,6.62,7.16,7.69,8.21,8.72,9.22,9.72,,,,,,,,,,
11,4.28,4.96,5.56,6.12,6.66,7.19,7.71,8.22,8.72,9.22,9.71,,,,,,,,,
12,3.79,4.47,5.06,5.63,6.17,6.70,7.22,7.72,8.23,8.72,9.21,9.70,,,,,,,,
13,3.29,3.97,4.57,5.13,5.67,6.20,6.72,7.23,7.73,8.23,8.72,9.20,9.69,,,,,,,
14,2.79,3.48,4.07,4.63,5.18,5.70,6.22,6.73,7.23,7.73,8.22,8.71,9.19,9.67,,,,,,
15,2.30,2.98,3.58,4.14,4.68,5.21,5.73,6.24,6.74,7.23,7.72,8.21,8.69,9.17,9.65,,,,,
16,1.80,2.48,3.08,3.64,4.18,4.71,5.23,5.74,6.24,6.74,7.23,7.71,8.20,8.68,9.15,9.63,,,,
17,1.31,1.99,2.58,3.14,3.68,4.21,4.73,5.24,5.74,6.24,6.73,7.21,7.70,8.18,8.65,9.12,9.60,,,
18,0.81,1.49,2.08,2.64,3.17,3.70,4.22,4.72,5.22,5.72,6.21,6.69,7.17,7.65,8.12,8.60,9.07,9.53,,
19,0.34,0.97,1.53,2.07,2.59,3.10,3.60,4.09,4.58,5.06,5.54,6.01,6.48,6.95,7.42,7.88,8.34,8.80,9.26,
20,0.00,0.42,0.82,1.22,1.62,2.02,2.42,2.82,3.22,3.62,4.02,4.42,4.82,5.22,5.62,6.02,6.42,6.82,7.22,7.62
