i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1,0.42,,,,,,,,,,,,,,,,,,
2,0.42,0.97,,,,,,,,,,,,,,,,,
3,0.42,0.97,1.58,,,,,,,,,,,,,,,,
4,0.42,0.97,1.58,2.24,,,,,,,,,,,,,,,
5,0.42,0.97,1.58,2.24,2.95,,,,,,,,,,,,,,
6,0.42,0.97,1.58,2.24,2.95,3.67,,,,,,,,,,,,,
7,0.42,0.97,1.58,2.24,2.95,3.67,4.42,,,,,,,,,,,,
8,0.42,0.97,1.58,2.24,2.95,3.67,4.42,5.18,,,,,,,,,,,
9,0.42,0.97,1.58,2.24,2.95,3.67,4.42,5.18,5.94,,,,,,,,,,
10,0.42,0.97,1.58,2.24,2.95,3.67,4.42,5.18,5.94,6.72,,,,,,,,,
11,0.42,0.97,1.58,2.24,2.95,3.67,4.42,5.18,5.94,6.72,7.51,,,,,,,,
12,0.42,0.97,1.58,2.24,2.94,3.67,4.42,5.18,5.94,6.72,7.51,8.31,,,,,,,
13,0.42,0.97,1.58,2.24,2.94,3.67,4.42,5.17,5.94,6.72,7.51,8.30,9.11,,,,,,
14,0.42,0.96,1.58,2.24,2.94,3.67,4.41,5.17,5.94,6.72,7.51,8.30,9.10,9.91,,,,,
15,0.42,0.96,1.57,2.23,2.93,3.66,4.41,5.16,5.93,6.71,7.50,8.29,9.09,9.90,10.71,,,,
16,0.41,0.95,1.55,2.21,2.91,3.64,4.38,5.14,5.91,6.68,7.47,8.26,9.06,9.87,10.68,11.50,,,
17,0.38,0.91,1.51,2.16,2.86,3.58,4.32,5.07,5.83,6.61,7.39,8.18,8.98,9.78,10.59,11.41,12.23,,
18,0.30,0.83,1.41,2.03,2.71,3.42,4.14,4.88,5.64,6.40,7.17,7.96,8.75,9.54,10.35,11.16,11.97,12.79,
19,0.15,0.59,1.12,1.71,2.34,3.00,3.68,4.38,5.10,5.83,6.57,7.32,8.08,8.85,9.63,10.42,11.21,12.01,12.81
