i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,6.04,,,,,,,,,,,,,,,,,,,
2,5.72,7.17,,,,,,,,,,,,,,,,,,
3,5.41,6.86,7.83,,,,,,,,,,,,,,,,,
4,5.09,6.54,7.52,8.48,,,,,,,,,,,,,,,,
5,4.78,6.23,7.20,8.16,9.11,,,,,,,,,,,,,,,
6,4.47,5.92,6.89,7.85,8.80,9.75,,,,,,,,,,,,,,
7,4.15,5.60,6.57,7.53,8.49,9.43,10.38,,,,,,,,,,,,,
8,3.84,5.29,6.26,7.22,8.17,9.12,10.06,11.01,,,,,,,,,,,,
9,3.53,4.98,5.95,6.91,7.86,8.81,9.75,10.69,11.63,,,,,,,,,,,
10,3.21,4.66,5.63,6.59,7.55,8.49,9.44,10.38,11.32,12.25,,,,,,,,,,
11,2.90,4.35,5.32,6.28,7.23,8.18,9.12,10.06,11.00,11.94,12.87,,,,,,,,,
12,2.59,4.04,5.01,5.97,6.92,7.87,8.81,9.75,10.69,11.63,12.56,13.49,,,,,,,,
13,2.27,3.72,4.69,5.65,6.61,7.55,8.50,9.44,10.38,11.31,12.25,13.18,14.11,,,,,,,
14,1.96,3.41,4.38,5.34,6.29,7.24,8.18,9.12,10.06,11.00,11.93,12.87,13.80,14.73,,,,,,
15,1.64,3.09,4.07,5.03,5.98,6.93,7.87,8.81,9.75,10.68,11.62,12.55,13.48,14.41,15.34,,,,,
16,1.33,2.78,3.75,4.71,5.66,6.61,7.56,8.50,9.43,10.37,11.31,12.24,13.17,14.10,15.03,15.96,,,,
17,1.02,2.47,3.44,4.40,5.35,6.30,7.24,8.18,9.12,10.06,10.99,11.92,12.86,13.79,14.72,15.64,16.57,,,
18,0.70,2.15,3.12,4.08,5.04,5.98,6.93,7.87,8.81,9.74,10.68,11.61,12.54,13.47,14.40,15.33,16.26,17.18,,
19,0.41,1.85,2.81,3.77,4.72,5.67,6.61,7.55,8.49,9.42,10.36,11.29,12.22,13.15,14.08,15.01,15.94,16.86,17.79,
20,0.00,1.36,2.26,3.16,4.06,4.96,5.86,6.76,7.66,8.56,9.46,10.36,11.26,12.16,13.06,13.96,14.86,15.76,16.66,17.56
