i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1,1.18,,,,,,,,,,,,,,,,,,
2,1.18,2.25,,,,,,,,,,,,,,,,,
3,1.18,2.25,3.26,,,,,,,,,,,,,,,,
4,1.18,2.25,3.26,4.30,,,,,,,,,,,,,,,
5,1.18,2.25,3.26,4.30,5.33,,,,,,,,,,,,,,
6,1.18,2.25,3.26,4.30,5.33,6.37,,,,,,,,,,,,,
7,1.18,2.25,3.26,4.30,5.33,6.37,7.41,,,,,,,,,,,,
8,1.18,2.25,3.26,4.30,5.33,6.37,7.41,8.44,,,,,,,,,,,
9,1.18,2.25,3.26,4.30,5.33,6.37,7.41,8.44,9.48,,,,,,,,,,
10,1.18,2.25,3.26,4.30,5.33,6.37,7.41,8.44,9.48,10.51,,,,,,,,,
11,1.18,2.25,3.26,4.30,5.33,6.37,7.41,8.44,9.48,10.51,11.54,,,,,,,,
12,1.18,2.25,3.26,4.30,5.33,6.37,7.41,8.44,9.48,10.51,11.54,12.57,,,,,,,
13,1.18,2.25,3.26,4.30,5.33,6.37,7.41,8.44,9.48,10.51,11.54,12.57,13.59,,,,,,
14,1.18,2.25,3.26,4.30,5.33,6.37,7.41,8.44,9.48,10.51,11.54,12.57,13.59,14.62,,,,,
15,1.18,2.25,3.26,4.30,5.33,6.37,7.41,8.44,9.48,10.51,11.54,12.57,13.59,14.62,15.65,,,,
16,1.18,2.24,3.26,4.29,5.33,6.37,7.41,8.44,9.47,10.51,11.54,12.56,13.59,14.62,15.64,16.67,,,
17,1.17,2.24,3.25,4.29,5.32,6.36,7.40,8.43,9.46,10.49,11.52,12.55,13.58,14.60,15.63,16.65,17.67,,
18,1.12,2.17,3.17,4.20,5.23,6.26,7.29,8.32,9.35,10.38,11.40,12.43,13.45,14.47,15.50,16.52,17.54,18.56,
19,0.77,1.71,2.66,3.63,4.61,5.60,6.59,7.58,8.58,9.57,10.57,11.57,12.56,13.56,14.56,15.56,16.56,17.56,18.56
