i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1,1.62,,,,,,,,,,,,,,,,,,
2,1.62,2.60,,,,,,,,,,,,,,,,,
3,1.62,2.60,3.66,,,,,,,,,,,,,,,,
4,1.62,2.60,3.66,4.70,,,,,,,,,,,,,,,
5,1.62,2.60,3.66,4.70,5.75,,,,,,,,,,,,,,
6,1.62,2.60,3.66,4.70,5.75,6.79,,,,,,,,,,,,,
7,1.62,2.60,3.66,4.70,5.75,6.79,7.82,,,,,,,,,,,,
8,1.62,2.60,3.66,4.70,5.75,6.79,7.82,8.86,,,,,,,,,,,
9,1.62,2.60,3.66,4.70,5.75,6.79,7.82,8.86,9.89,,,,,,,,,,
10,1.62,2.60,3.66,4.70,5.75,6.79,7.82,8.86,9.89,10.92,,,,,,,,,
11,1.62,2.60,3.66,4.70,5.75,6.79,7.82,8.86,9.89,10.92,11.95,,,,,,,,
12,1.62,2.60,3.66,4.70,5.75,6.79,7.82,8.86,9.89,10.92,11.95,12.98,,,,,,,
13,1.62,2.60,3.66,4.70,5.75,6.79,7.82,8.86,9.89,10.92,11.95,12.98,14.00,,,,,,
14,1.62,2.60,3.66,4.70,5.75,6.79,7.82,8.86,9.89,10.92,11.95,12.98,14.00,15.03,,,,,
15,1.62,2.60,3.66,4.70,5.75,6.79,7.82,8.86,9.89,10.92,11.95,12.98,14.00,15.03,16.05,,,,
16,1.61,2.59,3.65,4.70,5.75,6.79,7.82,8.86,9.89,10.92,11.95,12.97,14.00,15.02,16.05,17.07,,,
17,1.61,2.59,3.65,4.69,5.74,6.78,7.81,8.85,9.88,10.91,11.93,12.96,13.98,15.01,16.03,17.05,18.08,,
18,1.56,2.51,3.56,4.60,5.64,6.67,7.70,8.73,9.76,10.78,11.81,12.83,13.85,14.88,15.90,16.92,17.93,18.95,
19,1.07,2.05,3.03,4.01,4.99,5.98,6.97,7.97,8.96,9.96,10.95,11.95,12.95,13.94,14.94,15.94,16.94,17.94,18.94
