i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,10.74,,,,,,,,,,,,,,,,,,,
2,10.18,11.12,,,,,,,,,,,,,,,,,,
3,9.61,10.55,11.25,,,,,,,,,,,,,,,,,
4,9.05,9.99,10.69,11.36,,,,,,,,,,,,,,,,
5,8.49,9.43,10.12,10.80,11.45,,,,,,,,,,,,,,,
6,7.92,8.86,9.56,10.23,10.89,11.53,,,,,,,,,,,,,,
7,7.36,8.30,9.00,9.67,10.32,10.96,11.59,,,,,,,,,,,,,
8,6.80,7.73,8.43,9.11,9.76,10.40,11.03,11.64,,,,,,,,,,,,
9,6.23,7.17,7.87,8.54,9.19,9.83,10.46,11.08,11.69,,,,,,,,,,,
10,5.67,6.61,7.30,7.98,8.63,9.27,9.90,10.52,11.13,11.73,,,,,,,,,,
11,5.10,6.04,6.74,7.41,8.07,8.71,9.33,9.95,10.56,11.17,11.77,,,,,,,,,
12,4.54,5.48,6.18,6.85,7.50,8.14,8.77,9.39,10.00,10.60,11.20,11.80,,,,,,,,
13,3.98,4.91,5.61,6.29,6.94,7.58,8.21,8.82,9.44,10.04,10.64,11.24,11.83,,,,,,,
14,3.41,4.35,5.05,5.72,6.38,7.01,7.64,8.26,8.87,9.48,10.08,10.67,11.26,11.85,,,,,,
15,2.85,3.79,4.49,5.16,5.81,6.45,7.08,7.70,8.31,8.91,9.51,10.11,10.70,11.28,11.87,,,,,
16,2.28,3.22,3.92,4.59,5.25,5.89,6.51,7.13,7.74,8.35,8.95,9.54,10.13,10.72,11.30,11.88,,,,
17,1.72,2.66,3.36,4.03,4.68,5.32,5.95,6.57,7.18,7.78,8.38,8.98,9.57,10.15,10.74,11.32,11.90,,,
18,1.16,2.09,2.78,3.45,4.10,4.74,5.37,5.98,6.59,7.20,7.80,8.39,8.98,9.56,10.15,10.73,11.30,11.88,,
19,0.56,1.48,2.15,2.80,3.44,4.06,4.67,5.28,5.87,6.47,7.06,7.64,8.22,8.80,9.37,9.95,10.52,11.08,11.65,
20,0.00,0.71,1.21,1.71,2.21,2.71,3.21,3.71,4.21,4.71,5.21,5.71,6.21,6.71,7.21,7.71,8.21,8.71,9.21,9.71
