i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1,1.47,,,,,,,,,,,,,,,,,,
2,1.47,2.36,,,,,,,,,,,,,,,,,
3,1.47,2.36,3.40,,,,,,,,,,,,,,,,
4,1.47,2.36,3.40,4.45,,,,,,,,,,,,,,,
5,1.47,2.36,3.40,4.45,5.49,,,,,,,,,,,,,,
6,1.47,2.36,3.40,4.45,5.49,6.53,,,,,,,,,,,,,
7,1.47,2.36,3.40,4.45,5.49,6.53,7.56,,,,,,,,,,,,
8,1.47,2.36,3.40,4.45,5.49,6.53,7.56,8.60,,,,,,,,,,,
9,1.47,2.36,3.40,4.45,5.49,6.53,7.56,8.60,9.63,,,,,,,,,,
10,1.47,2.36,3.40,4.45,5.49,6.53,7.56,8.60,9.63,10.66,,,,,,,,,
11,1.47,2.36,3.40,4.45,5.49,6.53,7.56,8.60,9.63,10.66,11.69,,,,,,,,
12,1.47,2.36,3.40,4.45,5.49,6.53,7.56,8.60,9.63,10.66,11.69,12.72,,,,,,,
13,1.47,2.36,3.40,4.45,5.49,6.53,7.56,8.60,9.63,10.66,11.69,12.72,13.75,,,,,,
14,1.47,2.36,3.40,4.45,5.49,6.53,7.56,8.60,9.63,10.66,11.69,12.72,13.75,14.77,,,,,
15,1.47,2.36,3.40,4.45,5.49,6.53,7.56,8.60,9.63,10.66,11.69,12.72,13.75,14.77,15.80,,,,
16,1.47,2.36,3.40,4.44,5.49,6.52,7.56,8.60,9.63,10.66,11.69,12.72,13.75,14.77,15.79,16.82,,,
17,1.47,2.36,3.39,4.44,5.48,6.52,7.55,8.59,9.62,10.65,11.68,12.71,13.73,14.76,15.78,16.80,17.83,,
18,1.42,2.29,3.31,4.34,5.38,6.41,7.44,8.47,9.50,10.53,11.55,12.58,13.60,14.62,15.65,16.67,17.69,18.70,
19,0.87,1.82,2.79,3.76,4.75,5.74,6.73,7.72,8.71,9.71,10.71,11.70,12.70,13.70,14.70,15.70,16.70,17.70,18.69
