i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,10.67,,,,,,,,,,,,,,,,,,,
2,10.10,11.00,,,,,,,,,,,,,,,,,,
3,9.54,10.43,11.14,,,,,,,,,,,,,,,,,
4,8.97,9.87,10.57,11.25,,,,,,,,,,,,,,,,
5,8.41,9.31,10.01,10.68,11.34,,,,,,,,,,,,,,,
6,7.85,8.74,9.44,10.12,10.78,11.42,,,,,,,,,,,,,,
7,7.28,8.18,8.88,9.56,10.21,10.86,11.49,,,,,,,,,,,,,
8,6.72,7.61,8.32,8.99,9.65,10.29,10.92,11.54,,,,,,,,,,,,
9,6.15,7.05,7.75,8.43,9.09,9.73,10.36,10.98,11.59,,,,,,,,,,,
10,5.59,6.49,7.19,7.86,8.52,9.16,9.79,10.42,11.03,11.63,,,,,,,,,,
11,5.03,5.92,6.62,7.30,7.96,8.60,9.23,9.85,10.46,11.07,11.67,,,,,,,,,
12,4.46,5.36,6.06,6.74,7.39,8.04,8.67,9.29,9.90,10.51,11.11,11.70,,,,,,,,
13,3.90,4.79,5.50,6.17,6.83,7.47,8.10,8.72,9.34,9.94,10.54,11.14,11.73,,,,,,,
14,3.33,4.23,4.93,5.61,6.27,6.91,7.54,8.16,8.77,9.38,9.98,10.58,11.17,11.76,,,,,,
15,2.77,3.67,4.37,5.04,5.70,6.34,6.97,7.60,8.21,8.81,9.42,10.01,10.60,11.19,11.78,,,,,
16,2.21,3.10,3.80,4.48,5.14,5.78,6.41,7.03,7.64,8.25,8.85,9.45,10.04,10.63,11.21,11.79,,,,
17,1.64,2.54,3.24,3.91,4.57,5.21,5.84,6.46,7.08,7.68,8.28,8.88,9.47,10.06,10.64,11.22,11.80,,,
18,1.08,1.97,2.67,3.34,4.00,4.64,5.26,5.88,6.49,7.10,7.70,8.29,8.88,9.47,10.05,10.64,11.21,11.79,,
19,0.50,1.36,2.04,2.69,3.33,3.96,4.57,5.18,5.78,6.37,6.96,7.55,8.13,8.71,9.28,9.86,10.43,10.99,11.56,
20,0.00,0.64,1.14,1.64,2.14,2.64,3.14,3.64,4.14,4.64,5.14,5.64,6.14,6.64,7.14,7.64,8.14,8.64,9.14,9.64
