i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,6.36,,,,,,,,,,,,,,,,,,,
2,6.02,6.63,,,,,,,,,,,,,,,,,,
3,5.68,6.29,6.90,,,,,,,,,,,,,,,,,
4,5.35,5.95,6.56,7.15,,,,,,,,,,,,,,,,
5,5.01,5.61,6.22,6.81,7.39,,,,,,,,,,,,,,,
6,4.67,5.27,5.88,6.48,7.06,7.63,,,,,,,,,,,,,,
7,4.33,4.93,5.55,6.14,6.72,7.29,7.86,,,,,,,,,,,,,
8,3.99,4.60,5.21,5.80,6.38,6.95,7.52,8.08,,,,,,,,,,,,
9,3.65,4.26,4.87,5.46,6.04,6.61,7.18,7.74,8.30,,,,,,,,,,,
10,3.32,3.92,4.53,5.12,5.70,6.27,6.84,7.40,7.96,8.51,,,,,,,,,,
11,2.98,3.58,4.19,4.78,5.36,5.94,6.50,7.06,7.62,8.17,8.72,,,,,,,,,
12,2.64,3.24,3.85,4.44,5.02,5.60,6.16,6.72,7.28,7.83,8.39,8.93,,,,,,,,
13,2.30,2.90,3.51,4.11,4.69,5.26,5.82,6.39,6.94,7.50,8.05,8.60,9.14,,,,,,,
14,1.96,2.57,3.18,3.77,4.35,4.92,5.49,6.05,6.60,7.16,7.71,8.26,8.80,9.35,,,,,,
15,1.62,2.23,2.84,3.43,4.01,4.58,5.15,5.71,6.27,6.82,7.37,7.92,8.47,9.01,9.55,,,,,
16,1.28,1.89,2.50,3.09,3.67,4.24,4.81,5.37,5.93,6.48,7.03,7.58,8.13,8.67,9.22,9.76,,,,
17,0.95,1.55,2.16,2.75,3.33,3.90,4.47,5.03,5.59,6.14,6.69,7.24,7.79,8.33,8.88,9.42,9.96,,,
18,0.61,1.21,1.82,2.41,2.99,3.56,4.13,4.69,5.25,5.80,6.35,6.90,7.44,7.99,8.53,9.07,9.61,10.15,,
19,0.28,0.86,1.47,2.05,2.62,3.19,3.75,4.30,4.86,5.41,5.95,6.50,7.04,7.58,8.12,8.66,9.20,9.74,10.27,
20,0.00,0.45,0.95,1.45,1.95,2.45,2.95,3.45,3.95,4.45,4.95,5.45,5.95,6.45,6.95,7.45,7.95,8.45,8.95,9.45
