i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,10.90,,,,,,,,,,,,,,,,,,,
2,10.34,11.54,,,,,,,,,,,,,,,,,,
3,9.78,10.98,11.66,,,,,,,,,,,,,,,,,
4,9.21,10.41,11.10,11.76,,,,,,,,,,,,,,,,
5,8.65,9.85,10.53,11.19,11.83,,,,,,,,,,,,,,,
6,8.08,9.29,9.97,10.63,11.27,11.90,,,,,,,,,,,,,,
7,7.52,8.72,9.40,10.06,10.71,11.34,11.96,,,,,,,,,,,,,
8,6.96,8.16,8.84,9.50,10.14,10.77,11.39,12.00,,,,,,,,,,,,
9,6.39,7.59,8.28,8.94,9.58,10.21,10.83,11.44,12.05,,,,,,,,,,,
10,5.83,7.03,7.71,8.37,9.01,9.64,10.26,10.88,11.48,12.08,,,,,,,,,,
11,5.26,6.47,7.15,7.81,8.45,9.08,9.70,10.31,10.92,11.52,12.11,,,,,,,,,
12,4.70,5.90,6.59,7.24,7.89,8.52,9.14,9.75,10.35,10.96,11.55,12.14,,,,,,,,
13,4.14,5.34,6.02,6.68,7.32,7.95,8.57,9.19,9.79,10.39,10.99,11.58,12.17,,,,,,,
14,3.57,4.77,5.46,6.12,6.76,7.39,8.01,8.62,9.23,9.83,10.42,11.01,11.60,12.19,,,,,,
15,3.01,4.21,4.89,5.55,6.19,6.82,7.44,8.06,8.66,9.26,9.86,10.45,11.04,11.62,12.20,,,,,
16,2.44,3.65,4.33,4.99,5.63,6.26,6.88,7.49,8.10,8.70,9.29,9.89,10.47,11.06,11.64,12.22,,,,
17,1.88,3.08,3.76,4.42,5.06,5.69,6.31,6.93,7.53,8.13,8.73,9.32,9.91,10.49,11.07,11.65,12.23,,,
18,1.32,2.51,3.19,3.85,4.49,5.11,5.73,6.34,6.95,7.55,8.14,8.73,9.32,9.90,10.48,11.06,11.64,12.21,,
19,0.74,1.90,2.55,3.19,3.81,4.42,5.03,5.63,6.22,6.81,7.39,7.98,8.55,9.13,9.70,10.27,10.84,11.41,11.97,
20,0.00,0.99,1.49,1.99,2.49,2.99,3.49,3.99,4.49,4.99,5.49,5.99,6.49,6.99,7.49,7.99,8.49,8.99,9.49,9.99
