i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1,1.58,,,,,,,,,,,,,,,,,,
2,1.58,2.53,,,,,,,,,,,,,,,,,
3,1.58,2.53,3.58,,,,,,,,,,,,,,,,
4,1.58,2.53,3.58,4.63,,,,,,,,,,,,,,,
5,1.58,2.53,3.58,4.63,5.67,,,,,,,,,,,,,,
6,1.58,2.53,3.58,4.63,5.67,6.71,,,,,,,,,,,,,
7,1.58,2.53,3.58,4.63,5.67,6.71,7.75,,,,,,,,,,,,
8,1.58,2.53,3.58,4.63,5.67,6.71,7.75,8.79,,,,,,,,,,,
9,1.58,2.53,3.58,4.63,5.67,6.71,7.75,8.79,9.82,,,,,,,,,,
10,1.58,2.53,3.58,4.63,5.67,6.71,7.75,8.79,9.82,10.85,,,,,,,,,
11,1.58,2.53,3.58,4.63,5.67,6.71,7.75,8.79,9.82,10.85,11.88,,,,,,,,
12,1.58,2.53,3.58,4.63,5.67,6.71,7.75,8.79,9.82,10.85,11.88,12.90,,,,,,,
13,1.58,2.53,3.58,4.63,5.67,6.71,7.75,8.79,9.82,10.85,11.88,12.90,13.94,,,,,,
14,1.58,2.53,3.58,4.63,5.67,6.71,7.75,8.79,9.82,10.85,11.88,12.90,13.94,14.96,,,,,
15,1.58,2.52,3.58,4.63,5.67,6.71,7.75,8.79,9.82,10.85,11.88,12.90,13.94,14.96,15.98,,,,
16,1.58,2.52,3.58,4.63,5.67,6.71,7.75,8.79,9.81,10.85,11.88,12.90,13.93,14.96,15.98,17.00,,,
17,1.57,2.52,3.58,4.62,5.67,6.71,7.74,8.78,9.80,10.84,11.87,12.89,13.91,14.94,15.96,16.99,18.01,,
18,1.52,2.44,3.48,4.53,5.57,6.59,7.63,8.66,9.69,10.71,11.74,12.77,13.79,14.81,15.83,16.85,17.87,18.89,
19,1.01,1.99,2.96,3.94,4.92,5.92,6.91,7.90,8.89,9.89,10.88,11.88,12.88,13.88,14.88,15.88,16.88,17.87,18.87
