i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,9.67,,,,,,,,,,,,,,,,,,,
2,9.16,10.15,,,,,,,,,,,,,,,,,,
3,8.65,9.63,10.50,,,,,,,,,,,,,,,,,
4,8.14,9.12,9.99,10.83,,,,,,,,,,,,,,,,
5,7.63,8.61,9.48,10.32,11.14,,,,,,,,,,,,,,,
6,7.12,8.10,8.97,9.81,10.63,11.44,,,,,,,,,,,,,,
7,6.60,7.59,8.45,9.30,10.12,10.93,11.73,,,,,,,,,,,,,
8,6.09,7.08,7.94,8.78,9.61,10.42,11.22,12.01,,,,,,,,,,,,
9,5.58,6.57,7.43,8.27,9.10,9.91,10.71,11.50,12.29,,,,,,,,,,,
10,5.07,6.05,6.92,7.76,8.58,9.39,10.20,10.99,11.77,12.56,,,,,,,,,,
11,4.56,5.54,6.41,7.25,8.07,8.88,9.68,10.48,11.26,12.04,12.82,,,,,,,,,
12,4.05,5.03,5.90,6.74,7.56,8.37,9.17,9.97,10.75,11.53,12.31,13.08,,,,,,,,
13,3.53,4.52,5.38,6.23,7.05,7.86,8.66,9.45,10.24,11.02,11.80,12.57,13.34,,,,,,,
14,3.02,4.01,4.87,5.71,6.54,7.35,8.15,8.94,9.73,10.51,11.29,12.06,12.83,13.60,,,,,,
15,2.51,3.50,4.36,5.20,6.03,6.84,7.64,8.43,9.22,10.00,10.78,11.55,12.32,13.09,13.85,,,,,
16,2.00,2.98,3.85,4.69,5.51,6.33,7.13,7.92,8.71,9.49,10.26,11.04,11.81,12.57,13.34,14.10,,,,
17,1.49,2.47,3.34,4.18,5.00,5.81,6.61,7.41,8.19,8.97,9.75,10.53,11.30,12.06,12.83,13.59,14.35,,,
18,0.98,1.96,2.82,3.67,4.49,5.30,6.10,6.89,7.68,8.46,9.24,10.01,10.78,11.55,12.31,13.07,13.83,14.59,,
19,0.46,1.43,2.29,3.13,3.94,4.75,5.54,6.33,7.11,7.89,8.66,9.43,10.20,10.96,11.72,12.48,13.24,13.99,14.75,
20,0.00,0.76,1.46,2.16,2.86,3.56,4.26,4.96,5.66,6.36,7.06,7.76,8.46,9.16,9.86,10.56,11.26,11.96,12.66,13.36
